company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,<1M,Retail/E-commerce,25–100,Forklifts,6–10,Predictive,5,1803,"Accidents,Battery/charging (for EVs)","None,ERP,WMS",Very familiar,Cost,Very unlikely,10–25%,Cost savings,21–30%,"Predictive alerts,Cost–benefit analysis",Critical,Not tracked,6–10%,Medium,"Uptime/reliability,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Fuel efficiency,Delivery delays,Repair costs",Yes
51–200,1M–5M,Manufacturing,101–250,"Vans,Electric vehicles (EVs),Forklifts,Trucks",6–10,Preventive,1,1777,"Mechanical failure,Battery/charging (for EVs),Electrical issues",WMS,Heard of it,Lack of internal skills,Neutral,26–50%,Regulatory compliance,10–20%,"Maintenance scheduling,Parts availability",Critical,Not tracked,<2%,Medium,"Cost reduction,Regulatory compliance,Uptime/reliability","Moderate cost, high reliability","Repair costs,Delivery delays",No
>1000,1M–5M,Logistics provider,101–250,"Electric vehicles (EVs),Delivery bikes,Forklifts",6–10,Reactive,1,767,"Battery/charging (for EVs),Mechanical failure","None,TMS,ERP",Somewhat familiar,Not a priority,Very unlikely,26–50%,Regulatory compliance,21–30%,"Parts availability,Fuel efficiency analytics",Very important,Not tracked,>10%,Medium,"Customer satisfaction,Safety,Uptime/reliability","Higher cost, maximum reliability","Repair costs,Emission metrics,Fuel efficiency",Maybe
>1000,5M–20M,Logistics provider,<25,"Trucks,Forklifts,Delivery bikes,Electric vehicles (EVs)",>10,Preventive,2,601,Mechanical failure,"TMS,None,WMS",Very familiar,Complexity,Unlikely,10–25%,Uptime improvement,10–20%,"Sustainability/CO₂ reports,Fuel efficiency analytics",Very important,In-house software,6–10%,Essential,"Uptime/reliability,Cost reduction,Sustainability","Higher cost, maximum reliability",Delivery delays,Yes
51–200,20M–100M,Food & Beverage,25–100,Vans,2–5,Preventive,3,504,"Electrical issues,Tire issues","WMS,ERP",Somewhat familiar,Other,Neutral,<10%,Uptime improvement,<10%,Maintenance scheduling,Critical,3rd party tool,>10%,Essential,"Customer satisfaction,Uptime/reliability,Safety","Higher cost, maximum reliability","Emission metrics,Fuel efficiency,Repair costs",Yes
51–200,1M–5M,Other,25–100,"Delivery bikes,Vans",2–5,Preventive,2,1313,"Battery/charging (for EVs),Accidents,Mechanical failure","None,TMS",Somewhat familiar,Cost,Neutral,<10%,Cost savings,21–30%,"Fuel efficiency analytics,Sustainability/CO₂ reports",Critical,Manual spreadsheet,<2%,Medium,"Customer satisfaction,Cost reduction,Sustainability","Lower cost, moderate reliability",Downtime hours,No
201–500,5M–20M,Food & Beverage,<25,"Vans,Trucks",2–5,Predictive,3,1223,"Battery/charging (for EVs),Accidents,Tire issues","None,ERP,WMS",Very familiar,Data security concerns,Very likely,10–25%,Sustainability goals,10–20%,"Predictive alerts,Cost–benefit analysis",Critical,Manual spreadsheet,>10%,Essential,"Safety,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Downtime hours,Repair costs",No
51–200,20M–100M,Logistics provider,251–500,Trucks,2–5,Preventive,4,1019,"Battery/charging (for EVs),Accidents","None,ERP,TMS",Somewhat familiar,Lack of internal skills,Very likely,<10%,Competitive advantage,>30%,Real-time health scores,Critical,Not tracked,6–10%,None,"Safety,Uptime/reliability,Sustainability","Moderate cost, high reliability","Repair costs,Fuel efficiency,Emission metrics",Maybe
<50,5M–20M,Manufacturing,<25,"Vans,Forklifts,Trucks,Electric vehicles (EVs)",2–5,Reactive,3,2241,"Accidents,Battery/charging (for EVs),Electrical issues",None,Very familiar,Not a priority,Very unlikely,10–25%,Cost savings,<10%,"Fuel efficiency analytics,Sustainability/CO₂ reports",Very important,3rd party tool,2–5%,Medium,"Customer satisfaction,Uptime/reliability,Sustainability","Higher cost, maximum reliability","Downtime hours,Fuel efficiency,Emission metrics",No
51–200,5M–20M,Retail/E-commerce,25–100,Vans,6–10,Preventive,9,969,"Mechanical failure,Tire issues","None,WMS",Not familiar,Lack of internal skills,Neutral,10–25%,Regulatory compliance,>30%,"Maintenance scheduling,Real-time health scores,Cost–benefit analysis",Not important,Not tracked,6–10%,High,"Safety,Customer satisfaction,Uptime/reliability","Higher cost, maximum reliability","Fuel efficiency,Delivery delays,Emission metrics",No
501–1000,5M–20M,Retail/E-commerce,<25,"Electric vehicles (EVs),Vans,Delivery bikes,Trucks",<2,Reactive,3,1294,"Electrical issues,Battery/charging (for EVs),Mechanical failure",TMS,Heard of it,Data security concerns,Likely,26–50%,Regulatory compliance,10–20%,"Parts availability,Maintenance scheduling",Moderately important,In-house software,6–10%,None,"Customer satisfaction,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Repair costs,Emission metrics",Yes
201–500,5M–20M,Logistics provider,251–500,"Trucks,Delivery bikes",2–5,Predictive,4,1103,"Accidents,Tire issues","WMS,None",Somewhat familiar,Not a priority,Unlikely,10–25%,Sustainability goals,>30%,"Parts availability,Predictive alerts",Very important,Not tracked,6–10%,Low,"Uptime/reliability,Customer satisfaction,Cost reduction","Moderate cost, high reliability","Downtime hours,Delivery delays,Fuel efficiency",Maybe
<50,1M–5M,Retail/E-commerce,101–250,"Vans,Trucks,Electric vehicles (EVs),Forklifts",6–10,Preventive,1,2182,"Electrical issues,Battery/charging (for EVs),Tire issues","TMS,None",Somewhat familiar,Data security concerns,Likely,10–25%,Cost savings,<10%,"Predictive alerts,Cost–benefit analysis",Very important,3rd party tool,<2%,Medium,"Customer satisfaction,Uptime/reliability,Safety","Lower cost, moderate reliability",Repair costs,Yes
51–200,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Forklifts,Delivery bikes",2–5,Preventive,4,300,"Mechanical failure,Battery/charging (for EVs)","WMS,None",Currently using,Not a priority,Very likely,26–50%,Competitive advantage,>30%,"Fuel efficiency analytics,Maintenance scheduling",Critical,3rd party tool,6–10%,High,"Regulatory compliance,Uptime/reliability,Sustainability","Moderate cost, high reliability","Emission metrics,Fuel efficiency,Repair costs",No
51–200,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Forklifts",>10,Preventive,1,1045,"Mechanical failure,Tire issues",WMS,Currently using,Complexity,Likely,10–25%,Cost savings,<10%,"Predictive alerts,Fuel efficiency analytics,Parts availability",Critical,In-house software,6–10%,Essential,"Safety,Customer satisfaction,Sustainability","Moderate cost, high reliability",Delivery delays,Maybe
201–500,20M–100M,Food & Beverage,101–250,Delivery bikes,6–10,Predictive,4,1507,Mechanical failure,"None,TMS,WMS",Very familiar,Other,Neutral,>50%,Cost savings,>30%,"Cost–benefit analysis,Sustainability/CO₂ reports",Very important,Not tracked,6–10%,High,"Safety,Cost reduction,Sustainability","Higher cost, maximum reliability","Downtime hours,Emission metrics,Delivery delays",Maybe
<50,5M–20M,Logistics provider,>500,"Electric vehicles (EVs),Trucks,Vans,Delivery bikes",2–5,Predictive,2,1089,"Battery/charging (for EVs),Mechanical failure","WMS,None,ERP",Heard of it,Not a priority,Very likely,10–25%,Sustainability goals,21–30%,"Fuel efficiency analytics,Predictive alerts",Not important,Not tracked,2–5%,High,"Safety,Uptime/reliability,Regulatory compliance","Higher cost, maximum reliability","Emission metrics,Downtime hours,Delivery delays,Fuel efficiency",No
<50,20M–100M,Logistics provider,25–100,"Electric vehicles (EVs),Delivery bikes",2–5,Preventive,5,548,Battery/charging (for EVs),"WMS,ERP",Currently using,Data security concerns,Very likely,26–50%,Competitive advantage,21–30%,"Fuel efficiency analytics,Predictive alerts,Parts availability",Moderately important,In-house software,2–5%,High,"Uptime/reliability,Sustainability,Customer satisfaction","Moderate cost, high reliability","Fuel efficiency,Emission metrics",Maybe
501–1000,1M–5M,Logistics provider,251–500,"Forklifts,Trucks",2–5,Preventive,3,1288,Tire issues,TMS,Very familiar,Cost,Likely,<10%,Regulatory compliance,10–20%,"Cost–benefit analysis,Maintenance scheduling,Predictive alerts",Slightly important,3rd party tool,<2%,Medium,"Uptime/reliability,Regulatory compliance,Customer satisfaction","Moderate cost, high reliability","Downtime hours,Emission metrics",Maybe
51–200,5M–20M,Other,>500,"Delivery bikes,Trucks,Forklifts,Electric vehicles (EVs)",6–10,Preventive,4,389,"Mechanical failure,Accidents","WMS,TMS",Somewhat familiar,Other,Neutral,10–25%,Uptime improvement,>30%,"Predictive alerts,Sustainability/CO₂ reports,Maintenance scheduling",Moderately important,In-house software,6–10%,Essential,"Customer satisfaction,Sustainability,Cost reduction","Moderate cost, high reliability","Downtime hours,Fuel efficiency",Maybe
201–500,<1M,Retail/E-commerce,>500,"Vans,Trucks,Forklifts",2–5,Reactive,1,1535,Mechanical failure,"TMS,WMS,None",Very familiar,Complexity,Likely,10–25%,Competitive advantage,10–20%,"Parts availability,Sustainability/CO₂ reports",Very important,Not tracked,2–5%,High,"Regulatory compliance,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Repair costs",No
51–200,1M–5M,Logistics provider,101–250,Delivery bikes,6–10,Reactive,2,993,Battery/charging (for EVs),TMS,Not familiar,Lack of internal skills,Neutral,>50%,Regulatory compliance,21–30%,Real-time health scores,Not important,Not tracked,2–5%,Low,"Sustainability,Cost reduction,Safety","Higher cost, maximum reliability","Fuel efficiency,Delivery delays,Repair costs",No
<50,5M–20M,Food & Beverage,101–250,"Vans,Electric vehicles (EVs),Forklifts,Delivery bikes",6–10,Reactive,3,909,"Battery/charging (for EVs),Accidents,Tire issues",TMS,Not familiar,Complexity,Unlikely,<10%,Sustainability goals,21–30%,Parts availability,Not important,In-house software,6–10%,Low,"Sustainability,Regulatory compliance,Cost reduction","Higher cost, maximum reliability","Delivery delays,Repair costs,Fuel efficiency",Yes
51–200,>100M,Food & Beverage,25–100,Electric vehicles (EVs),2–5,Reactive,6,1723,Mechanical failure,WMS,Very familiar,Complexity,Neutral,<10%,Competitive advantage,>30%,Sustainability/CO₂ reports,Moderately important,3rd party tool,<2%,Essential,"Uptime/reliability,Sustainability,Cost reduction","Moderate cost, high reliability","Downtime hours,Delivery delays,Emission metrics",No
501–1000,<1M,Logistics provider,101–250,"Trucks,Vans,Delivery bikes",6–10,Preventive,5,698,"Mechanical failure,Electrical issues,Tire issues",ERP,Somewhat familiar,Lack of internal skills,Very likely,10–25%,Competitive advantage,21–30%,"Predictive alerts,Sustainability/CO₂ reports",Very important,In-house software,>10%,None,"Uptime/reliability,Regulatory compliance,Sustainability","Moderate cost, high reliability","Emission metrics,Repair costs",Yes
>1000,5M–20M,Manufacturing,25–100,"Delivery bikes,Vans,Trucks",<2,Predictive,4,429,"Battery/charging (for EVs),Tire issues,Electrical issues","TMS,None,WMS",Somewhat familiar,Not a priority,Likely,<10%,Regulatory compliance,<10%,"Sustainability/CO₂ reports,Cost–benefit analysis",Not important,3rd party tool,2–5%,Essential,"Cost reduction,Regulatory compliance,Safety","Lower cost, moderate reliability","Fuel efficiency,Delivery delays",Yes
501–1000,20M–100M,Manufacturing,101–250,"Delivery bikes,Trucks,Forklifts,Electric vehicles (EVs)",>10,Preventive,3,745,"Tire issues,Accidents","None,TMS",Somewhat familiar,Complexity,Likely,10–25%,Regulatory compliance,21–30%,Real-time health scores,Critical,Not tracked,>10%,Low,"Regulatory compliance,Safety,Uptime/reliability","Moderate cost, high reliability","Repair costs,Downtime hours,Emission metrics,Delivery delays",Maybe
51–200,1M–5M,Manufacturing,25–100,"Trucks,Electric vehicles (EVs)",2–5,Reactive,5,2224,Electrical issues,"ERP,TMS,WMS",Currently using,Other,Neutral,>50%,Cost savings,<10%,"Maintenance scheduling,Predictive alerts,Parts availability",Moderately important,In-house software,<2%,High,"Regulatory compliance,Safety,Uptime/reliability","Moderate cost, high reliability",Fuel efficiency,Yes
201–500,5M–20M,Logistics provider,101–250,"Electric vehicles (EVs),Forklifts",6–10,Preventive,3,698,"Battery/charging (for EVs),Mechanical failure",WMS,Somewhat familiar,Complexity,Neutral,>50%,Cost savings,10–20%,"Parts availability,Maintenance scheduling",Slightly important,Manual spreadsheet,2–5%,Medium,"Uptime/reliability,Customer satisfaction,Regulatory compliance","Lower cost, moderate reliability","Downtime hours,Emission metrics",Yes
51–200,5M–20M,Food & Beverage,251–500,"Delivery bikes,Trucks,Electric vehicles (EVs),Forklifts",2–5,Preventive,3,1383,"Battery/charging (for EVs),Electrical issues,Mechanical failure","None,ERP,TMS",Somewhat familiar,Cost,Very likely,<10%,Competitive advantage,10–20%,"Predictive alerts,Cost–benefit analysis",Very important,Not tracked,2–5%,Essential,"Regulatory compliance,Cost reduction,Safety","Higher cost, maximum reliability","Repair costs,Delivery delays,Downtime hours,Emission metrics",Yes
51–200,5M–20M,Retail/E-commerce,<25,"Electric vehicles (EVs),Delivery bikes",6–10,Reactive,5,1622,"Battery/charging (for EVs),Mechanical failure",None,Not familiar,Other,Likely,<10%,Uptime improvement,>30%,Predictive alerts,Critical,3rd party tool,6–10%,High,"Regulatory compliance,Sustainability,Customer satisfaction","Moderate cost, high reliability",Fuel efficiency,Yes
>1000,1M–5M,Logistics provider,251–500,"Delivery bikes,Electric vehicles (EVs)",2–5,Predictive,5,730,Tire issues,"WMS,TMS,None",Heard of it,Cost,Likely,10–25%,Sustainability goals,>30%,"Sustainability/CO₂ reports,Parts availability",Very important,In-house software,<2%,Low,"Cost reduction,Uptime/reliability,Regulatory compliance","Higher cost, maximum reliability","Repair costs,Emission metrics,Delivery delays,Fuel efficiency",Yes
<50,1M–5M,Logistics provider,25–100,"Delivery bikes,Vans,Trucks,Forklifts",2–5,Preventive,3,731,"Battery/charging (for EVs),Electrical issues,Mechanical failure",ERP,Currently using,Other,Neutral,10–25%,Regulatory compliance,<10%,"Predictive alerts,Real-time health scores,Fuel efficiency analytics",Very important,Manual spreadsheet,2–5%,Medium,"Uptime/reliability,Safety,Regulatory compliance","Lower cost, moderate reliability","Emission metrics,Downtime hours,Fuel efficiency",Maybe
<50,20M–100M,Logistics provider,251–500,"Forklifts,Trucks,Electric vehicles (EVs),Vans",6–10,Predictive,4,1290,"Tire issues,Electrical issues,Battery/charging (for EVs)","None,WMS",Somewhat familiar,Data security concerns,Likely,10–25%,Cost savings,21–30%,"Fuel efficiency analytics,Maintenance scheduling",Critical,Manual spreadsheet,>10%,Medium,"Cost reduction,Regulatory compliance,Customer satisfaction","Higher cost, maximum reliability","Downtime hours,Delivery delays,Repair costs",Maybe
51–200,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Forklifts",2–5,Preventive,2,1313,"Tire issues,Accidents","WMS,TMS",Somewhat familiar,Lack of internal skills,Very likely,26–50%,Sustainability goals,10–20%,"Real-time health scores,Maintenance scheduling,Cost–benefit analysis",Very important,In-house software,<2%,Essential,"Customer satisfaction,Cost reduction,Sustainability","Higher cost, maximum reliability",Delivery delays,Yes
<50,<1M,Manufacturing,25–100,Vans,6–10,Preventive,2,1874,"Tire issues,Electrical issues",None,Somewhat familiar,Other,Neutral,10–25%,Competitive advantage,10–20%,"Sustainability/CO₂ reports,Cost–benefit analysis",Not important,3rd party tool,6–10%,High,"Uptime/reliability,Cost reduction,Sustainability","Lower cost, moderate reliability","Delivery delays,Fuel efficiency,Repair costs",Yes
51–200,20M–100M,Logistics provider,>500,Trucks,6–10,Reactive,1,815,Tire issues,"ERP,TMS,WMS",Very familiar,Other,Very unlikely,<10%,Regulatory compliance,<10%,Predictive alerts,Very important,In-house software,6–10%,Essential,"Cost reduction,Sustainability,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Delivery delays,Fuel efficiency",No
